Library, Design Unit, compile Time, Peak Mem Usage
work, top, 0h:00m:00s,    106 MB
work, seven_decode_control, 0h:00m:00s,    106 MB
work, Nixie_Light_Display, 0h:00m:00s,    106 MB
work, Frequency_divider_dynamic_scanning, 0h:00m:00s,    106 MB
work, keyboard_buffer, 0h:00m:00s,    106 MB
work, keyboard_encoder, 0h:00m:00s,    106 MB
work, Pulse, 0h:00m:00s,    106 MB
work, Controller, 0h:00m:00s,    112 MB
work, Count_pulse, 0h:00m:00s,    112 MB
work, clk_5hz, 0h:00m:00s,    112 MB
work, clk_10hz, 0h:00m:00s,    112 MB
work, pulse_zhuanghuan, 0h:00m:00s,    112 MB
work, aq_axi_master, 0h:00m:00s,    113 MB
work, ddr3, 0h:00m:00s,    113 MB
work, ipsl_hmemc_ddrc_top_Z11, 0h:00m:00s,    113 MB
work, GTP_DDRC, 0h:00m:00s,    113 MB
work, ipsl_ddrc_reset_ctrl_Z10, 0h:00m:00s,    113 MB
work, ipsl_ddrc_apb_reset_Z9, 0h:00m:00s,    113 MB
work, ipsl_hmemc_phy_top_Z8, 0h:00m:00s,    113 MB
work, GTP_IOBUFCO, 0h:00m:00s,    113 MB
work, GTP_INV, 0h:00m:00s,    113 MB
work, ipsl_phy_io_Z7, 0h:00m:00s,    113 MB
work, GTP_OUTBUFTCO, 0h:00m:00s,    113 MB
work, GTP_IOBUF, 0h:00m:00s,    113 MB
work, GTP_OUTBUF, 0h:00m:00s,    113 MB
work, GTP_INBUFG, 0h:00m:00s,    113 MB
work, GTP_ISERDES, 0h:00m:00s,    113 MB
work, GTP_IODELAY, 0h:00m:00s,    113 MB
work, GTP_DDC_E1, 0h:00m:00s,    113 MB
work, GTP_IOCLKDIV, 0h:00m:00s,    113 MB
work, GTP_IOCLKBUF, 0h:00m:00s,    113 MB
work, GTP_DDRPHY, 0h:00m:00s,    113 MB
work, GTP_DLL, 0h:00m:00s,    113 MB
work, ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1, 0h:00m:00s,    113 MB
work, ipsl_ddrphy_dll_update_ctrl, 0h:00m:00s,    113 MB
work, ipsl_ddrphy_training_ctrl, 0h:00m:00s,    113 MB
work, ipsl_ddrphy_reset_ctrl, 0h:00m:00s,    113 MB
work, pll_50_400, 0h:00m:00s,    113 MB
work, frame_read_write, 0h:00m:00s,    113 MB
work, frame_fifo_read_Z6, 0h:00m:00s,    121 MB
work, afifo_64i_16o_128, 0h:00m:00s,    121 MB
work, ipml_fifo_v1_3_afifo_64i_16o_128_Z5, 0h:00m:00s,    121 MB
work, ipml_fifo_ctrl_v1_3_8s_10s_ASYN_252s_4s, 0h:00m:00s,    121 MB
work, ipml_sdpram_v1_3_afifo_64i_16o_128_Z4, 0h:00m:00s,    121 MB
work, frame_fifo_write_Z3, 0h:00m:00s,    122 MB
work, afifo_16i_64o_512, 0h:00m:00s,    122 MB
work, ipml_fifo_v1_3_afifo_16i_64o_512_Z2, 0h:00m:00s,    122 MB
work, ipml_fifo_ctrl_v1_3_10s_8s_ASYN_1020s_4s, 0h:00m:00s,    122 MB
work, GTP_DRM18K, 0h:00m:00s,    122 MB
work, ipml_sdpram_v1_3_afifo_16i_64o_512_Z1, 0h:00m:00s,    122 MB
work, video_timing_data, 0h:00m:00s,    122 MB
work, color_bar, 0h:00m:00s,    122 MB
work, cmos_write_req_gen, 0h:00m:00s,    122 MB
work, cmos_8_16bit, 0h:00m:00s,    122 MB
work, lut_ov5640_rgb565_1024_768, 0h:00m:00s,    122 MB
work, i2c_config, 0h:00m:00s,    122 MB
work, i2c_master_top, 0h:00m:00s,    122 MB
work, i2c_master_byte_ctrl, 0h:00m:00s,    122 MB
work, i2c_master_bit_ctrl, 0h:00m:00s,    122 MB
work, dvi_encoder, 0h:00m:00s,    122 MB
work, serdes_4b_10to1, 0h:00m:00s,    122 MB
work, GTP_OUTBUFT, 0h:00m:00s,    122 MB
work, GTP_OSERDES, 0h:00m:00s,    122 MB
work, encode, 0h:00m:00s,    122 MB
work, video_pll, 0h:00m:00s,    122 MB
work, GTP_PLL_E1, 0h:00m:00s,    122 MB
